lr_pair,ligand_gene_symbol,WT_MEF.x,WT_BMDM.x,log2diff.x,receptor_gene_symbol,WT_MEF.y,WT_BMDM.y,log2diff.y,m1
Prl7a2_Prlr,Prl7a2,0,0,0,Prlr,0.2316863,0.028572,0.259992074695319,0.259992074695319
Prl7c1_Prlr,Prl7c1,0,0,0,Prlr,0.2316863,0.028572,0.259992074695319,0.259992074695319
Prl7d1_Prlr,Prl7d1,0,0,0,Prlr,0.2316863,0.028572,0.259992074695319,0.259992074695319
Prl8a6_Prlr,Prl8a6,0,0,0,Prlr,0.2316863,0.028572,0.259992074695319,0.259992074695319
Prl8a8_Prlr,Prl8a8,0,0,0,Prlr,0.2316863,0.028572,0.259992074695319,0.259992074695319
Prl8a9_Prlr,Prl8a9,0,0,0,Prlr,0.2316863,0.028572,0.259992074695319,0.259992074695319
Bmp3_Acvr2b,Bmp3,0.17492489,0,0.232568531864262,Acvr2b,0.795086,0.818524,-0.0187150027526327,0.251283534616895
Il17c_Il17re,Il17c,0.472321,0.6493,-0.163761595618642,Il17re,0.1131536,0.0476812,0.0874528941538499,0.251214489772492
Hspa8_Aqp2,Hspa8,2670.07303,2246.99152,0.248782827987476,Aqp2,0,0,0,0.248782827987476
Gnrh1_Gnrhr,Gnrh1,0.479336,0.246389,0.247195361362995,Gnrhr,0,0,0,0.247195361362995
Ptma_Vipr1,Ptma,1224.14714,1370.311833,-0.16260164668674,Vipr1,0.0381756,0.37818,-0.408713840551838,0.246112193865098
Agt_Agtr1b,Agt,0.363625,0.0537497,0.371914734026838,Agtr1b,0.091641,0,0.126498485677303,0.245416248349535
Cd40lg_Traf2,Cd40lg,0,0,0,Traf2,17.874853,14.928537,0.244851643889889,0.244851643889889
Mmp9_Cd44,Mmp9,1.135303,1.165329,-0.0201454414932565,Cd44,185.139953,222.431201,-0.263442916633299,0.243297475140042
Shank3_Ret,Shank3,0.685264,0.0206387,0.72350235902928,Ret,0.986861,0.017712,0.965161591563259,0.241659232533979
Efnb3_Ephb1,Efnb3,0.32865,0.123749,0.241641280397612,Ephb1,0,0,0,0.241641280397612
Vip_Vipr2,Vip,0.392736,0,0.47792181387129,Vipr2,0.2441769,0.0559865,0.236600234795128,0.241321579076162
Reln_Itgb1,Reln,2.0880229,0.0590463,1.54391778802165,Itgb1,895.6289,362.4687,1.30267986861941,0.24123791940224
Fadd_Tradd,Fadd,7.31346,10.4849,-0.466217349102522,Tradd,20.89083,24.591699,-0.225349273282687,0.240868075819835
Fgf1_Cd44,Fgf1,0.0787653,0.0980285,-0.0255344797379725,Cd44,185.139953,222.431201,-0.263442916633299,0.237908436895327
Sct_Vipr2,Sct,0,0,0,Vipr2,0.2441769,0.0559865,0.236600234795128,0.236600234795128
Shh_Hhip,Shh,0.0335883,0.0347756,-0.00165629656385644,Hhip,0.1762378,0,0.234179759322971,0.235836055886827
Bmp8a_Tgfbr2,Bmp8a,0.531333,0,0.614788041955674,Tgfbr2,97.764,53.7866,0.85016219340759,0.235374151451916
Fga_Itga5,Fga,0.140425,0.145325,-0.00618546781518431,Itga5,195.791418,167.0098,0.228121918898561,0.234307386713745
Cort_Ghsr,Cort,0,0.174984,-0.232641111447452,Ghsr,0,0,0,0.232641111447452
Cort_Sstr3,Cort,0,0.174984,-0.232641111447452,Sstr3,0,0,0,0.232641111447452
Plg_Plaur,Plg,0.104313,0.25199,-0.181073900003679,Plaur,103.152203,137.521588,-0.411417476471627,0.230343576467948
Vegfc_Flt4,Vegfc,8.137874,0.259993,2.8584428309697,Flt4,6.1397712,0.153981,2.62925837203711,0.22918445893259
Wnt4_Fzd7,Wnt4,3.30809,0.0724225,2.00617499616843,Fzd7,51.8034,10.2256,2.23383826940184,0.22766327323341
Tnfsf18_Tnfrsf18,Tnfsf18,1.79443,0.0977377,1.34802066683055,Tnfrsf18,2.220048,0.48093,1.12057874467969,0.22744192215086
Sst_Sstr1,Sst,0,0,0,Sstr1,0.169293,0,0.225636483917067,0.225636483917067
Vegfa_Ptprb,Vegfa,64.4741479,42.49681,0.590015779590852,Ptprb,0.7738121,0.00800001,0.81535753982829,0.225341760237438
Hsp90b1_Lrp6,Hsp90b1,862.916371,559.25092,0.624818550284877,Lrp6,24.0263631,12.887054,0.849708071428683,0.224889521143806
