kegg_pair,Enzyme1,WT_MEF.x,WT_BMDM.x,log2diff.x,Enzyme2,WT_MEF.y,WT_BMDM.y,log2diff.y,m1
ak4-rrm1,ak4,5.39115929,7.508065,-0.412753410432212,rrm1,119.394258,77.224997,0.622064983594409,1.03481839402662
alas2-shmt1,alas2,0.308622,0.346367,-0.0410232911789528,shmt1,17.23504365,8.158397052,0.993546635218413,1.03456992639737
galt-pgm2,galt,34.91123,19.372573,0.817806867544798,pgm2,37.4285,43.6529,-0.216577210761249,1.03438407830605
glb1-hkdc1,glb1,63.57515,121.37732,-0.922285215696174,hkdc1,0.0807618,0,0.112048587988198,1.03433380368437
gstm3-gstp2,gstm3,0,0.162158,-0.216806222202587,gstp2,0.762288,0,0.817449714393923,1.03425593659651
gstp2-gstm3,gstp2,0.762288,0,0.817449714393923,gstm3,0,0.162158,-0.216806222202587,1.03425593659651
pla2g4c-pld3,pla2g4c,0.392526,0.3193844,0.0778393123882477,pld3,194.134539,377.444984,-0.955614426387472,1.03345373877572
g6pc-glb1,g6pc,0.0799786,0,0.11100272537045,glb1,63.57515,121.37732,-0.922285215696174,1.03328794106662
ftcd-mthfd2l,ftcd,0.101457,0.209966,-0.135553333913917,mthfd2l,13.666226,6.872342,0.897632873459018,1.03318620737294
mthfd2l-ftcd,mthfd2l,13.666226,6.872342,0.897632873459018,ftcd,0.101457,0.209966,-0.135553333913917,1.03318620737294
gucy1a2-pde10a,gucy1a2,7.3487051,0.213061,2.78290035053749,pde10a,3.3519739,0.294047,1.74977988716676,1.03312046337073
mpi-pfkfb2,mpi,33.848298,16.405693,1.00152894073805,pfkfb2,9.411553831,9.639508408,-0.0312460995372907,1.03277504027534
aox1-ugt2b36,aox1,1.652596,0.232394,1.10594140096466,ugt2b36,0.0520357,0,0.0731836621768622,1.03275773878779
pigc-pigl,pigc,28.961329,17.996396,0.657375882967633,pigl,4.23679,5.79141,-0.375028378422893,1.03240426139053
adcy9-nudt2,adcy9,2.523206553,6.69565031,-1.12715418723735,nudt2,31.5312,33.7422,-0.0948650725241675,1.03228911471319
ctps2-entpd3,ctps2,46.932253,63.5574854,-0.429587631058641,entpd3,0.518379,0,0.60253194435959,1.03211957541823
ak2-aprt,ak2,101.6078,79.5415,0.34933615903522,aprt,275.874308,443.42848,-0.682720083005901,1.03205624204112
ggt5-gpx4,ggt5,0.2660191,1.089095,-0.722578928971832,gpx4,810.277051,653.869209,0.308987879525438,1.03156680849727
aox1-acsf3,aox1,1.652596,0.232394,1.10594140096466,acsf3,9.0463,8.538771,0.0747889594045272,1.03115244156013
galnt12-galnt3,galnt12,0.798209,9.336564,-2.5231240804315,galnt3,1.368915792,5.66431,-1.49222859538936,1.03089548504214
pip4k2c-plch1,pip4k2c,30.15533,42.07853,-0.467490022452633,plch1,0.476959677,0,0.562630439111343,1.03012046156398
ggt6-gclm,ggt6,0,0.0754538,-0.104945549919023,gclm,76.17844,168.334428,-1.13360553440719,1.02865998448816
polr1e-polr2b,polr1e,20.95764,12.31333,0.721851531436936,polr2b,35.0915,43.6366,-0.306568035919001,1.02841956735594
agxt-shmt2,agxt,0.114562,0,0.156476871962979,shmt2,101.04445,43.90057,1.18439205431559,1.02791518235261
shmt2-agxt,shmt2,101.04445,43.90057,1.18439205431559,agxt,0.114562,0,0.156476871962979,1.02791518235261
cyp2s1-ugt2b34,cyp2s1,0.1746565,1.322619,-0.983513578316705,ugt2b34,0.0312329,0,0.0443701966532521,1.02788377496996
hadh-acaa1b,hadh,50.16613,53.4428749,-0.0895541336987433,acaa1b,1.0619,0.0759896,0.938310231634726,1.02786436533347
ak3-nme1,ak3,38.30744,36.05302,0.0852112735941004,nme1,202.58547,93.1298,1.11291116447798,1.02769989088388
entpd3-hprt,entpd3,0.518379,0,0.60253194435959,hprt,121.426,163.357,-0.424922922103181,1.02745486646277
pde1c-pde7b,pde1c,0.4673605,3.3317712,-1.56173368842362,pde7b,4.318167,6.706067,-0.535065648365672,1.02666804005794
ggct-ggt5,ggct,6.892427604,5.393506,0.303861844690883,ggt5,0.2660191,1.089095,-0.722578928971832,1.02644077366272
ggt5-ggct,ggt5,0.2660191,1.089095,-0.722578928971832,ggct,6.892427604,5.393506,0.303861844690883,1.02644077366272
nme2-nme7,nme2,1301.681,422.73,1.62026666061989,nme7,16.9225034,10.8739769,0.593968954325618,1.02629770629427
lpcat1-pla2g16,lpcat1,23.89261,18.766236,0.332679334436049,pla2g16,18.622036,30.725073,-0.693148739087746,1.0258280735238
pla2g16-lpcat1,pla2g16,18.622036,30.725073,-0.693148739087746,lpcat1,23.89261,18.766236,0.332679334436049,1.0258280735238
rpe-tkt,rpe,47.5162,45.159257,0.0718465548199632,tkt,117.041151,227.633331,-0.953745846788938,1.0255924016089
aox1-cyp2c68,aox1,1.652596,0.232394,1.10594140096466,cyp2c68,0.0574297,0,0.0805617533379922,1.02537964762666
pla2g5-pld2,pla2g5,0,1.79642,-1.48358105828553,pld2,16.772943,23.418691,-0.458303269335677,1.02527778894985
aox1-cyp4a12a,aox1,1.652596,0.232394,1.10594140096466,cyp4a12a,0.0576549,0,0.0808689702922795,1.02507243067238
cept1-lpcat1,cept1,42.795302,69.766769,-0.692295933979938,lpcat1,23.89261,18.766236,0.332679334436049,1.02497526841599
lcat-pla2g4c,lcat,3.33123,1.01759,1.1021437552285,pla2g4c,0.392526,0.3193844,0.0778393123882477,1.02430444284025
cds1-lpin2,cds1,3.02513,15.15058,-2.00447869199799,lpin2,11.7252139,24.1096653,-0.980552891314049,1.02392580068394
tdh-tha1,tdh,0,0,0,tha1,1.304755,3.68643,-1.02387593623744,1.02387593623744
ctps2-nme7,ctps2,46.932253,63.5574854,-0.429587631058641,nme7,16.9225034,10.8739769,0.593968954325618,1.02355658538426
nme7-ctps2,nme7,16.9225034,10.8739769,0.593968954325618,ctps2,46.932253,63.5574854,-0.429587631058641,1.02355658538426
gmps-pde3a,gmps,16.0788,10.1198,0.619075771014707,pde3a,2.221243,0.0317349,1.64254517313011,1.02346940211541
cmpk1-entpd3,cmpk1,91.168369,122.386752,-0.420843874746938,entpd3,0.518379,0,0.60253194435959,1.02337581910653
entpd3-cmpk1,entpd3,0.518379,0,0.60253194435959,cmpk1,91.168369,122.386752,-0.420843874746938,1.02337581910653
pld1-ptdss2,pld1,4.9394901,6.5195809,-0.340313174030462,ptdss2,30.834808,18.829095,0.682986228700512,1.02329940273097
nmnat3-nadk,nmnat3,4.0082323,6.258923,-0.535454031451391,nadk,135.716,96.504184,0.487646060000328,1.02310009145172
pde6g-guk1,pde6g,0.287206,0.0899234,0.240016210249604,guk1,84.92907,34.802822,1.26307297489254,1.02305676464293
entpd4-pde6b,entpd4,44.587618,25.405087,0.787826134032835,pde6b,0,0.177015,-0.235132706347231,1.02295884038007
ugt1a10-uxs1,ugt1a10,0,0,0,uxs1,71.638891,34.75357,1.02265487430706,1.02265487430706
ugt1a2-uxs1,ugt1a2,0,0,0,uxs1,71.638891,34.75357,1.02265487430706,1.02265487430706
ugt1a9-uxs1,ugt1a9,0,0,0,uxs1,71.638891,34.75357,1.02265487430706,1.02265487430706
ugt2a1-uxs1,ugt2a1,0,0,0,uxs1,71.638891,34.75357,1.02265487430706,1.02265487430706
ugt2a2-uxs1,ugt2a2,0,0,0,uxs1,71.638891,34.75357,1.02265487430706,1.02265487430706
ugt2b37-uxs1,ugt2b37,0,0,0,uxs1,71.638891,34.75357,1.02265487430706,1.02265487430706
ugt2b38-uxs1,ugt2b38,0,0,0,uxs1,71.638891,34.75357,1.02265487430706,1.02265487430706
itpa-uprt,itpa,60.954883,48.624566,0.320163508481404,uprt,8.78297,14.9195,-0.702450601570551,1.02261411005195
nme1-twistnb,nme1,202.58547,93.1298,1.11291116447798,twistnb,11.38911,10.63728,0.0903186576725585,1.02259250680542
pla2g2e-cyp3a11,pla2g2e,2.53914,7.27986,-1.22620754163157,cyp3a11,0.165042,0.341664,-0.203641449769447,1.02256609186213
cds2-lpin2,cds2,40.51288,39.321568,0.0420072813553318,lpin2,11.7252139,24.1096653,-0.980552891314049,1.02256017266938
aacs-ehhadh,aacs,58.975982,21.771559,1.39715180877596,ehhadh,1.61116,1.01402,0.374612852207591,1.02253895656837
dgka-pld3,dgka,5.296282,5.011696,0.0667281014417496,pld3,194.134539,377.444984,-0.955614426387472,1.02234252782922
degs1-galc,degs1,293.57155,216.111794,0.440180001730262,galc,32.7383852,49.5008776,-0.581917534680732,1.02209753641099
dgkb-lpin2,dgkb,0.0291633,0,0.0414719165449863,lpin2,11.7252139,24.1096653,-0.980552891314049,1.02202480785904
lpin2-dgkb,lpin2,11.7252139,24.1096653,-0.980552891314049,dgkb,0.0291633,0,0.0414719165449863,1.02202480785904
polr3gl-twistnb,polr3gl,12.11201,24.00937,-0.931579855847059,twistnb,11.38911,10.63728,0.0903186576725585,1.02189851351962
ugdh-ugt2b35,ugdh,135.9114967,60.02709,1.16572189326489,ugt2b35,0.169456,0.0584926,0.143826398882148,1.02189549438274
gsto1-gstp2,gsto1,355.23474,98.555126,1.83926070888804,gstp2,0.762288,0,0.817449714393923,1.02181099449412
gstp2-gsto1,gstp2,0.762288,0,0.817449714393923,gsto1,355.23474,98.555126,1.83926070888804,1.02181099449412
nadsyn1-nudt12,nadsyn1,5.569976,5.288902,0.0630799461812579,nudt12,3.358001,1.054921,1.08458359592732,1.02150364974606
